"","timestamp","Region1_total","Region2_total","Region3_total","Region1_visible","Region1_hidden","Region2_visible","Region2_hidden","Region3_visible","Region3_hidden","Study_night","Kinkajou_Notes","Video_Notes"
"112",2019-12-16 20:23:39,0,0,0,0,0,0,0,0,0,2,NA,"video blurry again"
"113",2019-12-16 20:24:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"114",2019-12-16 20:25:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"115",2019-12-16 20:26:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"116",2019-12-16 20:27:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"117",2019-12-16 20:28:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"118",2019-12-16 20:29:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"119",2019-12-16 20:30:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"120",2019-12-16 20:31:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"121",2019-12-16 20:32:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"122",2019-12-16 20:33:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"123",2019-12-16 20:34:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"124",2019-12-16 20:35:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"125",2019-12-16 20:36:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"126",2019-12-16 20:37:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"127",2019-12-16 20:38:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"128",2019-12-16 20:39:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"129",2019-12-16 20:40:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"130",2019-12-16 20:41:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"131",2019-12-16 20:42:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"132",2019-12-16 20:43:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"133",2019-12-16 20:44:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"134",2019-12-16 20:45:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"135",2019-12-16 20:46:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"136",2019-12-16 20:47:39,0,0,0,0,0,0,0,0,0,2,NA,NA
