"device_ID","session_start_timeStamp","session_end_timeStamp","group_ID","pin_code_name","layout_info_json_version","behaviors_json_version","gps_on","compass_on","map_mode_on","physical_contact_threshold"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,18:54:03",,"MOL","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-12,19:59:20","2019-07-12,22:09:50","MOL","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-18,19:56:38","2019-07-18,20:23:28","MOL","Alexander","v1.3","v1.4","0","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:06:58",,"MOL","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:07:03",,"MOL","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:07:07",,"MOL","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-21,19:08:49","2019-07-21,22:37:53","MOL","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-28,18:52:47",,"MOL","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-07-29,19:44:51","2019-08-04,18:03:18","MOL","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-08-04,18:03:32",,"MOL","Alexander","v1.3","v1.4","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:25:50","2019-12-26,16:27:58","PTS","Alexander","v1.0","v1.0","1","0","1","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:33:15","2019-12-26,16:33:22","PTS",,,"v1.0","1","0","1","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:33:28",,"PTS",,,"v1.0","1","0","1","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:34:47",,"PTS",,,"v1.0","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:38:03",,"PTS",,,"v1.0","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:41:46","2019-12-26,16:41:49","PTS",,,,"1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:41:54","2019-12-26,16:41:56","PTS",,,,"1","0","1","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:43:56","2019-12-26,16:44:21","PTS",,,,"1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:51:14","2019-12-26,16:51:35","PTS",,,"v1.1","1","0","0","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:51:40",,"PTS",,,"v1.1","1","0","1","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-26,16:56:07",,"PTS","Alexander","v1.1","v1.1","1","0","1","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-27,18:24:49",,"PTS","Alexander","v1.1","v1.1","1","0","1","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-27,20:02:28",,"PTS","Alexander","v1.1","v1.1","1","0","1","0.6"
"6C9C0A24-E36D-409A-B806-CACC16B2D1CB","2019-12-27,20:03:38","2019-12-27,22:05:52","PTS","Alexander","v1.1","v1.1","1","0","1","0.6"
